Date,Return
08/15/14,-0.002035936210237145
08/14/14,0.0
08/13/14,0.00022621494111705633
08/12/14,-0.020743002595610058
08/11/14,-0.011781085149635709
08/08/14,-0.010232298930138741
08/07/14,-0.019646752409441096
08/06/14,-0.014401732906509562
08/05/14,-0.016671020543678753
08/04/14,-0.002610208405885303
08/01/14,-0.0149308456426635
07/31/14,-0.0053075372764967285
07/30/14,0.02222224070682053
07/29/14,0.019072481953974596
07/28/14,0.027756100815709867
07/25/14,0.02500658563124664
07/24/14,0.03254155569077376
07/23/14,0.037118260089884864
07/22/14,0.03496048156623427
07/21/14,0.025789604822483863
07/18/14,0.03555211381613526
07/17/14,-0.0016009725333489672
07/16/14,0.01393897156456166
07/15/14,0.017628176253456588
07/14/14,0.017784736935193852
07/11/14,0.007883133465151518
07/10/14,-0.006177678672641933
07/09/14,0.0024884739837468086
07/08/14,-0.006195038726894768
07/07/14,0.013225498741429071
07/03/14,0.017541161939823958
07/02/14,0.013373433341677694
07/01/14,0.013956331618814493
06/30/14,0.0010963563372624588
06/27/14,0.004507158031006472
06/26/14,0.0023492733562623797
06/25/14,0.0069608057551545114
06/24/14,-0.017454041475097836
06/23/14,-0.016879769279449678
06/20/14,-0.03182808286764137
06/19/14,-0.034368743165239975
06/18/14,-0.037031245776252435
06/17/14,-0.05505955770681638
06/16/14,-0.05284948671822048
06/13/14,-0.039832949014749326
06/12/14,-0.04054642183788191
06/11/14,-0.02751241966924648
06/10/14,-0.02453668780348414
06/09/14,-0.02180453093309169
06/06/14,-0.03188026918149317
06/05/14,-0.036108918066255234
06/04/14,-0.05218830810021505
06/03/14,-0.05170105021819952
06/02/14,-0.03605673175240343
05/30/14,-0.025685124303504905
05/29/14,-0.02535453325432033
05/28/14,-0.02257019007007628
05/27/14,-0.015139594378434424
05/23/14,-0.03819714848161953
05/22/14,-0.051492195331335096
05/21/14,-0.06214209788410918
05/20/14,-0.07809964734483701
05/19/14,-0.07968325982393314
05/16/14,-0.09400500701134952
05/15/14,-0.095136191348393
05/14/14,-0.08352902519456533
05/13/14,-0.07232221050039593
05/12/14,-0.07783860440393893
05/09/14,-0.09731132992629624
05/08/14,-0.11076304360884266
05/07/14,-0.11257281882360022
05/06/14,-0.1035586611181363
05/05/14,-0.08151044903858103
05/02/14,-0.0813015941517166
05/01/14,-0.07535013042019192
04/30/14,-0.08351166514031269
04/29/14,-0.08170183772009931
04/28/14,-0.10006084511075947
04/25/14,-0.10174883369792291
04/24/14,-0.08612198143747316
04/23/14,-0.08302440899847903
04/22/14,-0.06932911858038095
04/21/14,-0.08010086344656848
04/17/14,-0.06708432748327939
04/16/14,-0.03151485361289129
04/15/14,-0.06649258908228489
04/14/14,-0.07331419246977312
04/11/14,-0.076655341644319
04/10/14,-0.05864438802782584
04/09/14,-0.018289354871462216
04/08/14,-0.034368743165239975
04/07/14,-0.06351685721652256
04/04/14,-0.05483334276569912
04/03/14,-0.008544312083157148
04/02/14,-0.013312405163786543
04/01/14,-0.013034003908817487
03/31/14,-0.030766552789977877
03/28/14,-0.025511095676239454
03/27/14,-0.02817359828725191
03/26/14,-0.016065433775428663
03/25/14,0.007186319402981473
03/24/14,0.006499580993790605
03/21/14,0.028325777191061094
03/20/14,0.04059919807338474
03/19/14,0.04241594445668036
03/18/14,0.05285526064163741
03/17/14,0.036201006750196746
03/14/14,0.01942502017679945
03/13/14,0.03355853537259488
03/12/14,0.04941315481638261
03/11/14,0.04305912263350787
03/10/14,0.05312471562165528
03/07/14,0.05592364152990091
03/06/14,0.06011329815968703
03/05/14,0.05893983610431242
03/04/14,0.05602790974669268
03/03/14,0.04540604674425689
02/28/14,0.056671194074613886
02/27/14,0.05976566898989402
02/26/14,0.06060002180587077
02/25/14,0.0604523012479912
02/24/14,0.05394181453447289
02/21/14,0.04636224013346543
02/20/14,0.04664032119497195
02/19/14,0.045101871655733546
02/18/14,0.052524991526097235
02/14/14,0.045501687139378355
02/13/14,0.04298094844373273
02/12/14,0.031498426296116364
02/11/14,0.03453208881605606
02/10/14,0.01953791447508006
02/07/14,0.023458116124848303
02/06/14,0.00826413932305276
02/05/14,-0.006304017615986448
02/04/14,-0.0106849550360153
02/03/14,-0.014796331324932783
01/31/14,0.026526497013111806
01/30/14,-0.013092693282286624
01/29/14,-0.03783944365884715
01/28/14,-0.02385365076111335
01/27/14,-0.04278538680611043
01/24/14,-0.023140924475999344
01/23/14,0.008385873745190859
01/22/14,0.012662438537516104
01/21/14,0.011515070509158521
01/17/14,6.737462114092783e-05
01/16/14,0.005013209877128855
01/15/14,-0.0015928110804174249
01/14/14,-0.0009148066439907495
01/13/14,-0.02387974304794832
01/10/14,-0.017621353000376906
01/09/14,-0.01756916494634325
01/08/14,-0.008016389631396602
01/07/14,-0.010076498707875118
01/06/14,-0.02879948601710108
01/03/14,-0.0395083633331697
01/02/14,-0.03245023268685165
12/31/13,-0.025852837810794012
12/30/13,-0.035631615764670915
12/27/13,-0.027860758833238866
12/26/13,-0.028677857746056475
12/24/13,-0.03356288060670376
12/23/13,-0.030729232849770798
12/20/13,-0.04331556279338198
12/19/13,-0.05583234636888833
12/18/13,-0.0571101827921484
12/17/13,-0.07005287587831639
12/16/13,-0.06734085639242822
12/13/13,-0.07793673151894068
12/12/13,-0.06996596771577726
12/11/13,-0.06359457547864988
12/10/13,-0.05718835698192354
12/09/13,-0.06285565075560741
12/06/13,-0.07004414190555239
12/05/13,-0.08093556603909956
12/04/13,-0.08020537528882107
12/03/13,-0.08448193834096446
12/02/13,-0.08342147847514601
